"Mã SP","Tên Sản Phẩm","Brand Sản Phẩm","Giá Thuê","Giá Cọc","Size","Giá nhập","Tổng doanh thu SP","Tỉ lệ hoàn vốn (%)","Ảnh sản phẩm","Trạng Thái","Ảnh phụ"
"T077","Hana dress","TranAli","190.000 đ","400.000 đ","M","","0 đ","0,00%","","",""
"T078","Garment dress M","Amelie","190.000 đ","400.000 đ","M","","0 đ","0,00%","","",""
"T079","Veletta dress","Sò Vintage","270.000 đ","1.000.000 đ","M","1.250.000 đ","1.236.000 đ","98,88%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_veletta.jpg?raw=true","",""
"T080","Missi dress M","Wonderhouse","200.000 đ","400.000 đ","M","500.000 đ","570.000 đ","114,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_missi.jpg?raw=true","",""
"T081","Mermaid dress","","150.000 đ","300.000 đ","M","","0 đ","0,00%","","",""
"T082","Faris dress","BBstore","190.000 đ","500.000 đ","M","","0 đ","0,00%","","",""
"T083","Violet white dress","Wonderhouse","170.000 đ","200.000 đ","M","","0 đ","0,00%","","",""
"T084","Fiona dress M","Wonderhouse","210.000 đ","600.000 đ","M","700.000 đ","0 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_fiona.jpg?raw=true","",""
"T085","Lavie dress","H.I.U  Room","200.000 đ","400.000 đ","M","","0 đ","0,00%","","",""
"T086","Ahri dress M","","120.000 đ","200.000 đ","M","200.000 đ","90.000 đ","45,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_ahri.jpg?raw=true","",""
"T087","Felia dress M","Wonderhouse","200.000 đ","400.000 đ","M","500.000 đ","170.000 đ","34,00%","","",""
"T088","Mita dress","Trân Ali","200.000 đ","400.000 đ","M","","0 đ","0,00%","","",""
"T089","Tila dress","H.I.U Room","190.000 đ","400.000 đ","M","","220.000 đ","0,00%","","",""
"T090","Layla dress","Tiin store","200.000 đ","300.000 đ","M","","200.000 đ","0,00%","","Đã thanh lý",""
"T091","Lara dress","Lagom","200.000 đ","400.000 đ","M","","715.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_lara.jpg?raw=true","",""
"T092","Moni dress","Sauvee","250.000 đ","700.000 đ","M","","490.000 đ","0,00%","","",""
"T093","Chic dress","Jolie loft","250.000 đ","400.000 đ","M","","0 đ","0,00%","","",""
"T094","Loire pink dress","Jolie loft","200.000 đ","400.000 đ","M","","0 đ","0,00%","","",""
"T095","Lily dress M","Jolie loft","190.000 đ","300.000 đ","M","","160.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_lily.jpg?raw=true","",""
"T096","Alva dress","Flane","200.000 đ","400.000 đ","M","","340.000 đ","0,00%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_alva.jpg?raw=true","",""
"T097","Silk dress","Jolie loft","200.000 đ","300.000 đ","M","","210.000 đ","0,00%","","",""
"T098","Velia dress đen L","Sò Vintage","280.000 đ","800.000 đ","L","1.814.000 đ","1.620.000 đ","89,31%","https://github.com/thanhsang3197/sherent-hinhanh/blob/main/vay_thiet_ke_velia_den.jpg?raw=true","",""
"T099","Acelia dress đen L","Sò Vintage","350.000 đ","1.500.000 đ","L","","1.420.000 đ","0,00%","","",""
"T100","Black swan dress","","150.000 đ","200.000 đ","L","","0 đ","0,00%","","",""
